geoid,name,B11016001,"B11016001, Error",B11016002,"B11016002, Error",B11016003,"B11016003, Error",B11016004,"B11016004, Error",B11016005,"B11016005, Error",B11016006,"B11016006, Error",B11016007,"B11016007, Error",B11016008,"B11016008, Error",B11016009,"B11016009, Error",B11016010,"B11016010, Error",B11016011,"B11016011, Error",B11016012,"B11016012, Error",B11016013,"B11016013, Error",B11016014,"B11016014, Error",B11016015,"B11016015, Error",B11016016,"B11016016, Error"
86000US10001,"10001",12431,521,3838,413,2330,338,819,295,366,135,307,144,16,25,0,22,8593,513,6710,506,1567,281,253,97,63,55,0,22,0,22,0,22
86000US10002,"10002",33540,614,16565,738,8090,620,4287,432,2712,389,1162,261,95,67,219,142,16975,819,14319,839,1951,301,621,157,84,87,0,28,0,28,0,28
86000US10003,"10003",26124,703,7946,551,5182,472,1413,316,1273,312,71,48,7,13,0,28,18178,836,14377,926,3083,436,586,212,94,70,38,38,0,28,0,28
86000US10004,"10004",1659,238,709,183,410,160,196,106,95,62,8,8,0,12,0,12,950,190,794,185,114,55,42,31,0,12,0,12,0,12,0,12
86000US10005,"10005",4374,337,1614,316,944,260,358,182,299,148,13,20,0,17,0,17,2760,374,1674,340,872,287,199,96,15,25,0,17,0,17,0,17
86000US10006,"10006",1794,199,633,150,328,126,203,98,65,45,37,40,0,12,0,12,1161,203,775,181,349,130,26,29,0,12,11,17,0,12,0,12
86000US10007,"10007",2731,292,1465,228,721,180,231,100,307,100,177,80,15,23,14,24,1266,249,1029,234,237,100,0,17,0,17,0,17,0,17,0,17
86000US10009,"10009",29728,556,10476,697,5809,649,2741,517,1566,363,236,100,30,34,94,66,19252,827,14577,838,3595,531,902,252,167,96,11,18,0,28,0,28
86000US10010,"10010",16390,823,5709,688,3312,598,1097,277,830,199,445,286,25,32,0,25,10681,771,8290,812,1952,361,394,136,45,66,0,25,0,25,0,25
86000US10011,"10011",29128,935,8662,734,5332,653,1839,346,1004,268,422,144,65,73,0,28,20466,946,16838,969,3240,435,307,141,67,70,0,28,0,28,14,25
86000US10012,"10012",12041,456,4030,336,2423,305,954,227,502,136,99,57,42,44,10,18,8011,498,5953,478,1691,242,273,136,82,84,0,22,0,22,12,18
86000US10013,"10013",11986,443,6213,410,2867,356,1279,280,1635,268,292,116,140,99,0,22,5773,469,4523,432,906,185,285,117,59,58,0,22,0,22,0,22
86000US10014,"10014",18229,652,4728,444,2744,388,1250,245,552,167,87,67,95,81,0,25,13501,663,10424,623,2732,431,300,142,45,55,0,25,0,25,0,25
86000US10016,"10016",28916,1116,7845,793,5212,661,1475,313,744,258,340,215,52,60,22,51,21071,1126,16569,1080,3342,598,1002,303,158,94,0,28,0,28,0,28
86000US10017,"10017",9905,506,2974,487,2090,451,546,206,241,127,63,73,34,55,0,19,6931,538,6101,544,728,209,87,110,15,25,0,19,0,19,0,19
86000US10018,"10018",5095,295,1521,210,1090,181,265,112,153,91,8,11,5,8,0,17,3574,334,2271,302,976,196,236,114,77,64,14,21,0,17,0,17
86000US10019,"10019",25428,859,7864,670,5495,654,1312,296,749,263,285,146,23,36,0,25,17564,985,14002,921,2857,404,675,281,26,25,4,6,0,25,0,25
86000US10020,"10020",0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12
86000US10021,"10021",24996,995,10153,867,5299,663,2249,497,2097,438,296,180,87,64,125,179,14843,1062,13156,1084,1588,477,60,63,39,58,0,25,0,25,0,25
86000US10022,"10022",18049,778,6634,639,4651,598,1268,390,537,159,164,83,14,22,0,25,11415,763,9500,740,1766,378,123,70,5,8,21,36,0,25,0,25
86000US10023,"10023",33693,963,13536,849,8167,784,2500,467,2383,434,361,175,120,112,5,26,20157,1119,17232,1122,2770,471,117,85,10,17,0,28,28,35,0,28
86000US10024,"10024",28751,960,13208,752,6924,682,2390,503,2854,503,751,216,230,134,59,57,15543,924,13086,869,2142,392,287,170,6,23,0,28,22,36,0,28
86000US10025,"10025",41910,899,19662,979,10046,818,5003,750,3275,473,909,321,252,204,177,156,22248,964,17874,912,3246,499,948,281,168,94,12,19,0,28,0,28
86000US10026,"10026",15458,406,7748,586,2940,425,2097,371,1826,326,548,175,224,119,113,69,7710,576,5664,495,1656,329,336,118,24,25,30,27,0,25,0,25
86000US10027,"10027",23811,643,12148,655,5599,542,3090,427,2179,375,794,201,302,102,184,110,11663,697,8570,612,2111,314,723,218,230,143,14,23,15,33,0,28
86000US10028,"10028",25318,898,9964,720,5623,544,2028,445,1650,317,644,237,19,22,0,25,15354,1023,12099,997,2764,504,410,320,74,83,7,13,0,25,0,25
86000US10029,"10029",31690,534,17375,748,7657,631,4484,527,3017,441,1407,379,546,201,264,121,14315,814,12345,787,1482,279,390,115,33,23,65,51,0,28,0,28
86000US10030,"10030",12736,487,5878,476,2426,391,1586,361,1106,292,372,141,246,131,142,110,6858,488,5731,501,961,213,134,91,32,38,0,22,0,22,0,22
86000US10031,"10031",21959,453,11068,604,4063,513,3267,508,2050,395,1044,244,344,136,300,143,10891,598,7169,603,2033,269,1023,262,586,173,61,70,19,31,0,28
86000US10032,"10032",21222,471,11359,640,4116,556,2742,411,2058,359,1229,303,500,152,714,221,9863,626,6459,518,2176,346,833,210,261,148,121,114,0,28,13,20
86000US10033,"10033",19652,493,12021,622,4437,412,2837,404,2224,363,1476,294,521,200,526,190,7631,577,5369,512,1455,277,546,179,184,108,77,75,0,28,0,28
86000US10034,"10034",16095,261,9097,463,3457,409,2148,323,1965,349,883,201,316,174,328,153,6998,428,5582,429,1115,252,191,106,110,112,0,25,0,25,0,25
86000US10035,"10035",14428,572,6863,508,2901,401,2036,368,1053,241,523,168,211,119,139,75,7565,514,6621,464,726,200,183,101,35,32,0,25,0,25,0,25
86000US10036,"10036",16183,620,3733,447,2352,386,895,260,234,118,225,150,0,22,27,28,12450,653,9722,702,2362,487,256,134,110,90,0,22,0,22,0,22
86000US10037,"10037",9731,396,4330,430,1879,315,1183,314,826,226,274,126,112,79,56,49,5401,424,4842,441,507,190,52,49,0,22,0,22,0,22,0,22
86000US10038,"10038",10210,431,4671,372,2678,341,1156,244,522,166,186,94,58,44,71,56,5539,407,4035,387,1096,201,346,124,62,50,0,22,0,22,0,22
86000US10039,"10039",11210,361,6043,453,2474,400,1664,346,1306,345,305,137,258,152,36,44,5167,470,4207,444,823,258,87,51,50,77,0,22,0,22,0,22
86000US10040,"10040",16181,418,9051,456,3533,376,2426,334,1525,295,855,216,348,164,364,160,7130,444,5411,415,1288,222,342,131,41,35,0,25,48,65,0,25
86000US10044,"10044",4748,347,2411,291,1418,283,457,161,300,140,219,116,17,29,0,19,2337,373,1821,359,330,163,117,90,69,59,0,19,0,19,0,19
86000US10065,"10065",14844,737,6352,575,3662,555,1416,324,972,226,233,113,56,81,13,22,8492,654,7209,632,1105,252,119,65,50,70,0,22,0,22,9,13
86000US10069,"10069",2552,408,1206,331,505,233,365,197,309,167,11,28,16,28,0,17,1346,310,1142,298,204,122,0,17,0,17,0,17,0,17,0,17
86000US10075,"10075",11035,843,5134,675,2927,549,641,306,1330,536,160,123,76,70,0,22,5901,781,5445,810,380,195,76,85,0,22,0,22,0,22,0,22
86000US10103,"10103",0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12
86000US10110,"10110",0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12
